Timestamp,PM2.5 (µg/m³),PM10 (µg/m³)
2025-04-01 00:00:00,26.29,86.94
2025-04-01 01:00:00,22.97,77.29
2025-04-01 02:00:00,24.02,69.81
2025-04-01 03:00:00,30.62,60.93
2025-04-01 04:00:00,29.00,65.01
2025-04-01 05:00:00,30.84,74.04
2025-04-01 06:00:00,28.68,71.94
2025-04-01 07:00:00,25.54,72.66
2025-04-01 08:00:00,31.31,82.16
2025-04-01 09:00:00,29.94,93.09
2025-04-01 10:00:00,34.18,NA
2025-04-01 11:00:00,44.99,NA
2025-04-01 12:00:00,44.94,NA
2025-04-01 13:00:00,41.81,98.12
2025-04-01 14:00:00,41.55,85.12
2025-04-01 15:00:00,43.88,86.03
2025-04-01 16:00:00,46.40,80.18
2025-04-01 17:00:00,42.84,79.86
2025-04-01 18:00:00,45.66,78.89
2025-04-01 19:00:00,44.05,83.36
2025-04-01 20:00:00,38.68,75.21
2025-04-01 21:00:00,38.34,73.88
2025-04-01 22:00:00,34.22,74.65
2025-04-01 23:00:00,29.98,71.51
2025-04-02 00:00:00,28.17,71.40
2025-04-02 01:00:00,26.38,66.04
2025-04-02 02:00:00,28.58,56.93
2025-04-02 03:00:00,25.37,51.66
2025-04-02 04:00:00,22.18,58.86
2025-04-02 05:00:00,18.98,58.01
2025-04-02 06:00:00,18.53,52.11
2025-04-02 07:00:00,24.36,64.33
2025-04-02 08:00:00,23.49,75.50
2025-04-02 09:00:00,21.65,83.76
2025-04-02 10:00:00,27.02,85.51
2025-04-02 11:00:00,30.27,77.36
2025-04-02 12:00:00,31.33,78.04
2025-04-02 13:00:00,39.66,79.36
2025-04-02 14:00:00,48.26,72.78
2025-04-02 15:00:00,43.03,61.28
2025-04-02 16:00:00,34.64,54.52
2025-04-02 17:00:00,30.55,46.95
2025-04-02 18:00:00,29.68,50.94
2025-04-02 19:00:00,28.82,50.76
2025-04-02 20:00:00,25.71,57.75
2025-04-02 21:00:00,25.34,51.32
2025-04-02 22:00:00,22.78,47.92
2025-04-02 23:00:00,21.88,52.53
2025-04-03 00:00:00,21.73,58.04
2025-04-03 01:00:00,16.98,52.42
2025-04-03 02:00:00,12.14,43.58
2025-04-03 03:00:00,14.35,41.74
2025-04-03 04:00:00,18.14,42.35
2025-04-03 05:00:00,15.94,38.88
2025-04-03 06:00:00,11.97,42.13
2025-04-03 07:00:00,19.25,40.39
2025-04-03 08:00:00,21.38,36.67
2025-04-03 09:00:00,20.91,36.89
2025-04-03 10:00:00,18.83,42.39
2025-04-03 11:00:00,15.19,49.01
2025-04-03 12:00:00,23.08,47.86
2025-04-03 13:00:00,24.48,56.91
2025-04-03 14:00:00,18.60,54.48
2025-04-03 15:00:00,21.82,51.98
2025-04-03 16:00:00,21.25,43.62
2025-04-03 17:00:00,23.94,43.79
2025-04-03 18:00:00,25.12,42.94
2025-04-03 19:00:00,22.07,53.43
2025-04-03 20:00:00,25.11,47.56
2025-04-03 21:00:00,24.04,52.34
2025-04-03 22:00:00,19.72,54.88
2025-04-03 23:00:00,17.02,60.48
2025-04-04 00:00:00,13.98,60.84
2025-04-04 01:00:00,13.72,51.80
2025-04-04 02:00:00,15.85,43.91
2025-04-04 03:00:00,18.76,38.03
2025-04-04 04:00:00,17.57,45.20
2025-04-04 05:00:00,15.80,47.81
2025-04-04 06:00:00,21.48,50.26
2025-04-04 07:00:00,23.28,48.26
2025-04-04 08:00:00,19.60,52.03
2025-04-04 09:00:00,16.12,54.16
2025-04-04 10:00:00,21.67,52.45
2025-04-04 11:00:00,22.21,59.29
2025-04-04 12:00:00,19.56,73.66
2025-04-04 13:00:00,21.72,69.73
2025-04-04 14:00:00,28.36,61.17
2025-04-04 15:00:00,32.00,50.96
2025-04-04 16:00:00,26.52,56.45
2025-04-04 17:00:00,26.90,53.90
2025-04-04 18:00:00,25.12,44.68
2025-04-04 19:00:00,26.31,47.11
2025-04-04 20:00:00,27.18,40.03
2025-04-04 21:00:00,26.31,39.25
2025-04-04 22:00:00,25.00,37.99
2025-04-04 23:00:00,21.31,38.63
2025-04-05 00:00:00,15.63,36.54
2025-04-05 01:00:00,12.03,41.42
2025-04-05 02:00:00,13.31,36.12
2025-04-05 03:00:00,19.15,32.33
2025-04-05 04:00:00,18.68,30.10
2025-04-05 05:00:00,21.92,32.42
2025-04-05 06:00:00,22.10,33.40
2025-04-05 07:00:00,16.40,45.38
2025-04-05 08:00:00,16.12,47.24
2025-04-05 09:00:00,16.25,55.05
2025-04-05 10:00:00,21.27,55.87
2025-04-05 11:00:00,20.76,59.79
2025-04-05 12:00:00,15.88,64.74
2025-04-05 13:00:00,12.83,57.44
2025-04-05 14:00:00,18.57,48.83
2025-04-05 15:00:00,21.18,48.16
2025-04-05 16:00:00,21.90,41.11
2025-04-05 17:00:00,24.65,40.21
2025-04-05 18:00:00,31.58,38.84
2025-04-05 19:00:00,37.68,39.66
2025-04-05 20:00:00,NA,NA
2025-04-05 21:00:00,NA,NA
2025-04-05 22:00:00,36.17,42.54
2025-04-05 23:00:00,29.73,46.10
2025-04-06 00:00:00,20.63,44.52
2025-04-06 01:00:00,15.55,38.59
2025-04-06 02:00:00,15.60,34.12
2025-04-06 03:00:00,20.75,31.95
2025-04-06 04:00:00,24.77,43.70
2025-04-06 05:00:00,22.15,38.68
2025-04-06 06:00:00,17.31,42.61
2025-04-06 07:00:00,20.37,46.78
2025-04-06 08:00:00,19.46,52.76
2025-04-06 09:00:00,18.45,54.09
2025-04-06 10:00:00,18.17,50.66
2025-04-06 11:00:00,15.08,54.44
2025-04-06 12:00:00,11.92,54.94
2025-04-06 13:00:00,14.30,56.52
2025-04-06 14:00:00,18.44,47.42
2025-04-06 15:00:00,19.74,41.36
2025-04-06 16:00:00,17.10,36.04
2025-04-06 17:00:00,19.24,35.53
2025-04-06 18:00:00,20.93,38.76
2025-04-06 19:00:00,21.34,34.08
2025-04-06 20:00:00,20.04,30.46
2025-04-06 21:00:00,19.67,34.76
2025-04-06 22:00:00,17.88,31.89
2025-04-06 23:00:00,14.65,31.64
2025-04-07 00:00:00,13.05,30.88
2025-04-07 01:00:00,14.30,33.63
2025-04-07 02:00:00,16.30,30.41
2025-04-07 03:00:00,14.37,28.45
2025-04-07 04:00:00,11.60,27.17
2025-04-07 05:00:00,12.19,31.84
2025-04-07 06:00:00,17.79,30.04
2025-04-07 07:00:00,18.04,36.20
2025-04-07 08:00:00,13.37,42.45
2025-04-07 09:00:00,13.68,52.98
2025-04-07 10:00:00,15.75,50.76
2025-04-07 11:00:00,14.45,55.51
2025-04-07 12:00:00,11.56,61.14
2025-04-07 13:00:00,9.07,58.94
2025-04-07 14:00:00,19.43,52.74
2025-04-07 15:00:00,28.48,44.55
2025-04-07 16:00:00,25.50,38.14
2025-04-07 17:00:00,27.80,34.78
2025-04-07 18:00:00,27.86,34.07
2025-04-07 19:00:00,28.44,31.99
2025-04-07 20:00:00,26.03,28.99
2025-04-07 21:00:00,29.14,32.41
2025-04-07 22:00:00,26.46,35.52
2025-04-07 23:00:00,20.33,32.99
2025-04-08 00:00:00,15.70,29.77
2025-04-08 01:00:00,13.36,27.94
2025-04-08 02:00:00,17.13,28.56
2025-04-08 03:00:00,21.02,27.06
2025-04-08 04:00:00,21.20,25.68
2025-04-08 05:00:00,17.96,25.06
2025-04-08 06:00:00,13.28,24.94
2025-04-08 07:00:00,17.98,26.74
2025-04-08 08:00:00,19.34,45.00
2025-04-08 09:00:00,17.32,51.64
2025-04-08 10:00:00,21.01,43.93
2025-04-08 11:00:00,21.46,47.54
2025-04-08 12:00:00,19.29,45.89
2025-04-08 13:00:00,15.70,47.18
2025-04-08 14:00:00,17.08,46.88
2025-04-08 15:00:00,22.08,40.62
2025-04-08 16:00:00,27.64,36.23
2025-04-08 17:00:00,25.64,32.02
2025-04-08 18:00:00,26.00,29.01
2025-04-08 19:00:00,NA,NA
2025-04-08 20:00:00,26.70,31.59
2025-04-08 21:00:00,21.29,32.26
2025-04-08 22:00:00,16.62,34.01
2025-04-08 23:00:00,13.68,38.23
2025-04-09 00:00:00,13.51,38.69
2025-04-09 01:00:00,12.22,40.82
2025-04-09 02:00:00,22.95,36.80
2025-04-09 03:00:00,30.87,35.67
2025-04-09 04:00:00,29.48,35.46
2025-04-09 05:00:00,27.23,37.26
2025-04-09 06:00:00,22.93,35.95
2025-04-09 07:00:00,24.13,48.53
2025-04-09 08:00:00,23.08,54.94
2025-04-09 09:00:00,17.98,66.63
2025-04-09 10:00:00,18.99,63.17
2025-04-09 11:00:00,18.44,60.34
2025-04-09 12:00:00,14.76,54.71
2025-04-09 13:00:00,11.84,50.69
2025-04-09 14:00:00,12.84,48.69
2025-04-09 15:00:00,18.63,41.51
2025-04-09 16:00:00,22.44,36.99
2025-04-09 17:00:00,22.37,38.78
2025-04-09 18:00:00,26.89,38.84
2025-04-09 19:00:00,NA,NA
2025-04-09 20:00:00,31.64,36.50
2025-04-09 21:00:00,31.86,32.56
2025-04-09 22:00:00,26.85,31.36
2025-04-09 23:00:00,27.96,28.98
2025-04-10 00:00:00,25.59,31.35
2025-04-10 01:00:00,20.66,34.23
2025-04-10 02:00:00,25.26,31.06
2025-04-10 03:00:00,23.44,28.77
2025-04-10 04:00:00,19.08,27.52
2025-04-10 05:00:00,15.82,34.69
2025-04-10 06:00:00,15.28,40.03
2025-04-10 07:00:00,16.30,41.72
2025-04-10 08:00:00,15.21,51.61
2025-04-10 09:00:00,13.15,65.18
2025-04-10 10:00:00,18.36,64.47
2025-04-10 11:00:00,22.18,74.20
2025-04-10 12:00:00,18.28,76.60
2025-04-10 13:00:00,14.04,84.46
2025-04-10 14:00:00,12.26,78.56
2025-04-10 15:00:00,29.17,74.62
2025-04-10 16:00:00,39.00,70.56
2025-04-10 17:00:00,45.56,76.98
2025-04-10 18:00:00,51.30,76.65
2025-04-10 19:00:00,47.76,77.96
2025-04-10 20:00:00,49.33,81.98
2025-04-10 21:00:00,48.95,84.43
2025-04-10 22:00:00,42.98,87.97
2025-04-10 23:00:00,39.11,85.66
2025-04-11 00:00:00,35.53,76.32
2025-04-11 01:00:00,32.88,69.22
2025-04-11 02:00:00,30.53,66.76
2025-04-11 03:00:00,29.04,72.73
2025-04-11 04:00:00,27.86,68.95
2025-04-11 05:00:00,33.31,62.58
2025-04-11 06:00:00,39.15,68.95
2025-04-11 07:00:00,33.70,64.44
2025-04-11 08:00:00,28.42,61.82
2025-04-11 09:00:00,23.77,70.03
2025-04-11 10:00:00,24.90,70.29
2025-04-11 11:00:00,29.15,68.57
2025-04-11 12:00:00,25.92,74.95
2025-04-11 13:00:00,20.10,81.78
2025-04-11 14:00:00,19.50,81.60
2025-04-11 15:00:00,31.26,86.39
2025-04-11 16:00:00,47.06,81.85
2025-04-11 17:00:00,51.89,93.28
2025-04-11 18:00:00,51.90,82.34
2025-04-11 19:00:00,46.02,81.01
2025-04-11 20:00:00,41.58,80.79
2025-04-11 21:00:00,38.97,76.14
2025-04-11 22:00:00,32.62,68.78
2025-04-11 23:00:00,26.13,70.58
2025-04-12 00:00:00,19.24,81.66
2025-04-12 01:00:00,22.69,75.26
2025-04-12 02:00:00,28.16,71.07
2025-04-12 03:00:00,30.99,67.32
2025-04-12 04:00:00,36.49,68.14
2025-04-12 05:00:00,39.81,67.53
2025-04-12 06:00:00,34.62,70.62
2025-04-12 07:00:00,27.67,63.09
2025-04-12 08:00:00,28.19,66.18
2025-04-12 09:00:00,29.20,60.74
2025-04-12 10:00:00,31.71,72.65
2025-04-12 11:00:00,37.61,78.07
2025-04-12 12:00:00,37.90,82.33
2025-04-12 13:00:00,37.89,87.62
2025-04-12 14:00:00,45.61,85.98
2025-04-12 15:00:00,49.27,87.20
2025-04-12 16:00:00,47.26,79.74
2025-04-12 17:00:00,48.74,72.08
2025-04-12 18:00:00,44.04,81.42
2025-04-12 19:00:00,33.93,81.60
2025-04-12 20:00:00,24.97,87.52
2025-04-12 21:00:00,36.26,84.42
2025-04-12 22:00:00,38.12,85.47
2025-04-12 23:00:00,31.27,86.38
2025-04-13 00:00:00,35.05,79.40
2025-04-13 01:00:00,34.89,76.59
2025-04-13 02:00:00,32.05,64.33
2025-04-13 03:00:00,26.83,60.64
2025-04-13 04:00:00,23.21,60.00
2025-04-13 05:00:00,24.48,60.88
2025-04-13 06:00:00,27.68,66.30
2025-04-13 07:00:00,29.03,65.37
2025-04-13 08:00:00,28.82,73.00
2025-04-13 09:00:00,28.06,73.04
2025-04-13 10:00:00,29.77,76.61
2025-04-13 11:00:00,36.60,86.96
2025-04-13 12:00:00,34.14,88.54
2025-04-13 13:00:00,31.37,83.93
2025-04-13 14:00:00,32.85,71.73
2025-04-13 15:00:00,33.78,69.46
2025-04-13 16:00:00,29.19,65.82
2025-04-13 17:00:00,22.31,57.55
2025-04-13 18:00:00,17.58,55.05
2025-04-13 19:00:00,17.70,54.43
2025-04-13 20:00:00,23.06,52.95
2025-04-13 21:00:00,28.07,55.59
2025-04-13 22:00:00,29.03,48.12
2025-04-13 23:00:00,29.46,49.59
2025-04-14 00:00:00,25.74,58.81
2025-04-14 01:00:00,18.74,57.12
2025-04-14 02:00:00,13.52,48.35
2025-04-14 03:00:00,23.38,40.74
2025-04-14 04:00:00,25.85,46.96
2025-04-14 05:00:00,20.52,44.36
2025-04-14 06:00:00,21.96,42.24
2025-04-14 07:00:00,20.39,43.84
2025-04-14 08:00:00,18.75,55.76
2025-04-14 09:00:00,16.08,55.82
2025-04-14 10:00:00,17.44,56.43
2025-04-14 11:00:00,18.80,53.58
2025-04-14 12:00:00,15.14,56.78
2025-04-14 13:00:00,11.30,56.88
2025-04-14 14:00:00,8.87,49.52
2025-04-14 15:00:00,13.48,50.04
2025-04-14 16:00:00,17.36,44.74
2025-04-14 17:00:00,15.07,43.12
2025-04-14 18:00:00,17.23,45.47
2025-04-14 19:00:00,16.64,44.66
2025-04-14 20:00:00,22.74,41.96
2025-04-14 21:00:00,27.57,46.68
2025-04-14 22:00:00,22.55,51.84
2025-04-14 23:00:00,19.65,44.66
2025-04-15 00:00:00,16.85,53.16
2025-04-15 01:00:00,13.02,52.88
2025-04-15 02:00:00,16.81,44.77
2025-04-15 03:00:00,20.52,40.73
2025-04-15 04:00:00,28.37,45.59
2025-04-15 05:00:00,28.58,44.72
2025-04-15 06:00:00,27.95,38.92
2025-04-15 07:00:00,29.94,49.17
2025-04-15 08:00:00,28.86,52.86
2025-04-15 09:00:00,28.92,61.33
2025-04-15 10:00:00,28.20,61.58
2025-04-15 11:00:00,33.61,66.97
2025-04-15 12:00:00,41.54,68.56
2025-04-15 13:00:00,39.76,72.23
2025-04-15 14:00:00,38.42,68.35
2025-04-15 15:00:00,38.28,65.24
2025-04-15 16:00:00,32.36,57.61
2025-04-15 17:00:00,37.71,60.29
2025-04-15 18:00:00,36.96,56.56
2025-04-15 19:00:00,28.30,53.95
2025-04-15 20:00:00,22.08,53.59
2025-04-15 21:00:00,16.91,60.64
2025-04-15 22:00:00,13.78,58.46
2025-04-15 23:00:00,15.90,54.06
2025-04-16 00:00:00,22.15,52.26
2025-04-16 01:00:00,20.00,48.82
2025-04-16 02:00:00,15.08,41.03
2025-04-16 03:00:00,18.60,35.32
2025-04-16 04:00:00,24.35,31.32
2025-04-16 05:00:00,21.63,37.90
2025-04-16 06:00:00,21.64,48.06
2025-04-16 07:00:00,25.89,46.68
2025-04-16 08:00:00,23.78,45.94
2025-04-16 09:00:00,21.26,54.95
2025-04-16 10:00:00,22.54,56.52
2025-04-16 11:00:00,20.92,63.69
2025-04-16 12:00:00,24.28,55.17
2025-04-16 13:00:00,24.14,60.64
2025-04-16 14:00:00,37.36,59.03
2025-04-16 15:00:00,51.80,60.10
2025-04-16 16:00:00,47.64,64.40
2025-04-16 17:00:00,42.14,64.80
2025-04-16 18:00:00,42.65,67.87
2025-04-16 19:00:00,39.39,69.52
2025-04-16 20:00:00,34.88,60.79
2025-04-16 21:00:00,33.64,68.92
2025-04-16 22:00:00,29.86,61.11
2025-04-16 23:00:00,24.72,57.11
2025-04-17 00:00:00,18.20,54.16
2025-04-17 01:00:00,18.47,52.89
2025-04-17 02:00:00,22.41,44.84
2025-04-17 03:00:00,24.08,38.40
2025-04-17 04:00:00,20.34,45.66
2025-04-17 05:00:00,20.40,47.97
2025-04-17 06:00:00,25.01,47.73
2025-04-17 07:00:00,22.90,57.52
2025-04-17 08:00:00,19.10,59.24
2025-04-17 09:00:00,17.87,61.91
2025-04-17 10:00:00,20.56,53.61
2025-04-17 11:00:00,19.72,60.85
2025-04-17 12:00:00,19.54,70.76
2025-04-17 13:00:00,20.64,76.49
2025-04-17 14:00:00,34.73,70.82
2025-04-17 15:00:00,46.78,75.86
2025-04-17 16:00:00,43.85,73.30
2025-04-17 17:00:00,41.16,70.96
2025-04-17 18:00:00,38.34,71.50
2025-04-17 19:00:00,36.56,58.94
2025-04-17 20:00:00,34.42,58.90
2025-04-17 21:00:00,32.56,55.57
2025-04-17 22:00:00,27.74,58.58
2025-04-17 23:00:00,25.39,58.38
2025-04-18 00:00:00,23.99,60.62
2025-04-18 01:00:00,18.89,57.69
2025-04-18 02:00:00,21.47,53.58
2025-04-18 03:00:00,24.20,55.30
2025-04-18 04:00:00,23.56,54.20
2025-04-18 05:00:00,25.98,45.34
2025-04-18 06:00:00,23.06,53.24
2025-04-18 07:00:00,16.78,58.86
2025-04-18 08:00:00,20.40,58.93
2025-04-18 09:00:00,21.06,67.87
2025-04-18 10:00:00,24.42,64.31
2025-04-18 11:00:00,24.57,71.00
2025-04-18 12:00:00,23.24,75.65
2025-04-18 13:00:00,22.26,83.27
2025-04-18 14:00:00,20.54,71.55
2025-04-18 15:00:00,23.18,69.24
2025-04-18 16:00:00,21.80,65.49
2025-04-18 17:00:00,19.98,64.22
2025-04-18 18:00:00,34.89,64.70
2025-04-18 19:00:00,44.03,67.74
2025-04-18 20:00:00,37.67,57.95
2025-04-18 21:00:00,33.80,65.90
2025-04-18 22:00:00,32.34,63.72
2025-04-18 23:00:00,34.08,66.46
2025-04-19 00:00:00,34.68,65.14
2025-04-19 01:00:00,28.18,54.52
2025-04-19 02:00:00,28.08,48.54
2025-04-19 03:00:00,26.53,54.03
2025-04-19 04:00:00,20.11,52.75
2025-04-19 05:00:00,16.97,60.52
2025-04-19 06:00:00,28.17,59.25
2025-04-19 07:00:00,30.59,56.44
2025-04-19 08:00:00,22.11,58.05
2025-04-19 09:00:00,22.12,63.98
2025-04-19 10:00:00,22.87,70.69
2025-04-19 11:00:00,20.84,75.92
2025-04-19 12:00:00,39.12,88.99
2025-04-19 13:00:00,45.66,93.12
2025-04-19 14:00:00,42.46,84.51
2025-04-19 15:00:00,43.75,74.79
2025-04-19 16:00:00,41.40,74.80
2025-04-19 17:00:00,43.66,79.65
2025-04-19 18:00:00,38.36,74.29
2025-04-19 19:00:00,36.44,77.60
2025-04-19 20:00:00,33.03,71.62
2025-04-19 21:00:00,28.80,75.60
2025-04-19 22:00:00,27.70,61.95
2025-04-19 23:00:00,23.42,68.95
2025-04-20 00:00:00,19.19,63.82
2025-04-20 01:00:00,15.91,61.56
2025-04-20 02:00:00,21.28,55.14
2025-04-20 03:00:00,22.53,50.34
2025-04-20 04:00:00,28.12,54.33
2025-04-20 05:00:00,27.98,58.93
2025-04-20 06:00:00,26.12,51.09
2025-04-20 07:00:00,23.51,54.31
2025-04-20 08:00:00,24.27,58.59
2025-04-20 09:00:00,25.44,63.81
2025-04-20 10:00:00,20.71,65.25
2025-04-20 11:00:00,18.08,70.08
2025-04-20 12:00:00,14.99,68.06
2025-04-20 13:00:00,18.11,89.08
2025-04-20 14:00:00,30.16,78.21
2025-04-20 15:00:00,37.38,75.86
2025-04-20 16:00:00,42.10,75.10
2025-04-20 17:00:00,46.36,75.81
2025-04-20 18:00:00,44.38,68.95
2025-04-20 19:00:00,35.62,66.72
2025-04-20 20:00:00,29.93,60.24
2025-04-20 21:00:00,24.62,58.46
2025-04-20 22:00:00,27.39,60.93
2025-04-20 23:00:00,27.32,66.72
2025-04-21 00:00:00,20.40,57.57
2025-04-21 01:00:00,16.78,59.69
2025-04-21 02:00:00,17.51,51.70
2025-04-21 03:00:00,20.77,50.34
2025-04-21 04:00:00,25.63,47.18
2025-04-21 05:00:00,24.06,53.55
2025-04-21 06:00:00,24.96,50.23
2025-04-21 07:00:00,32.97,50.28
2025-04-21 08:00:00,30.09,60.24
2025-04-21 09:00:00,22.08,57.22
2025-04-21 10:00:00,24.25,63.51
2025-04-21 11:00:00,29.96,63.83
2025-04-21 12:00:00,25.98,82.97
2025-04-21 13:00:00,24.40,76.16
2025-04-21 14:00:00,39.11,67.60
2025-04-21 15:00:00,47.04,68.32
2025-04-21 16:00:00,38.87,66.09
2025-04-21 17:00:00,39.78,66.40
2025-04-21 18:00:00,38.64,65.54
2025-04-21 19:00:00,27.58,58.40
2025-04-21 20:00:00,30.16,60.66
2025-04-21 21:00:00,28.71,63.75
2025-04-21 22:00:00,28.06,58.91
2025-04-21 23:00:00,28.14,58.60
2025-04-22 00:00:00,22.70,53.36
2025-04-22 01:00:00,17.30,62.56
2025-04-22 02:00:00,16.73,51.98
2025-04-22 03:00:00,25.68,49.04
2025-04-22 04:00:00,26.87,46.47
2025-04-22 05:00:00,22.06,50.14
2025-04-22 06:00:00,22.93,43.18
2025-04-22 07:00:00,27.10,51.09
2025-04-22 08:00:00,26.08,53.70
2025-04-22 09:00:00,21.06,56.36
2025-04-22 10:00:00,15.57,62.10
2025-04-22 11:00:00,10.91,80.61
2025-04-22 12:00:00,12.99,81.04
2025-04-22 13:00:00,17.06,82.36
2025-04-22 14:00:00,32.42,70.36
2025-04-22 15:00:00,34.40,68.48
2025-04-22 16:00:00,33.20,69.59
2025-04-22 17:00:00,34.43,62.33
2025-04-22 18:00:00,31.34,56.26
2025-04-22 19:00:00,25.04,65.48
2025-04-22 20:00:00,18.54,60.20
2025-04-22 21:00:00,14.86,62.35
2025-04-22 22:00:00,16.92,54.47
2025-04-22 23:00:00,19.86,59.66
2025-04-23 00:00:00,18.36,53.44
2025-04-23 01:00:00,15.12,53.16
2025-04-23 02:00:00,19.98,45.02
2025-04-23 03:00:00,26.76,38.66
2025-04-23 04:00:00,24.85,33.80
2025-04-23 05:00:00,27.22,47.48
2025-04-23 06:00:00,36.27,43.74
2025-04-23 07:00:00,NA,NA
2025-04-23 08:00:00,48.36,52.99
2025-04-23 09:00:00,40.44,48.96
2025-04-23 10:00:00,31.30,54.86
2025-04-23 11:00:00,29.41,55.17
2025-04-23 12:00:00,25.32,62.86
2025-04-23 13:00:00,24.10,63.27
2025-04-23 14:00:00,31.18,62.89
2025-04-23 15:00:00,30.63,58.89
2025-04-23 16:00:00,27.05,52.13
2025-04-23 17:00:00,24.06,54.96
2025-04-23 18:00:00,25.96,50.93
2025-04-23 19:00:00,24.44,48.40
2025-04-23 20:00:00,24.49,43.89
2025-04-23 21:00:00,24.70,52.68
2025-04-23 22:00:00,20.71,53.98
2025-04-23 23:00:00,20.39,52.39
2025-04-24 00:00:00,19.75,49.87
2025-04-24 01:00:00,15.25,53.15
2025-04-24 02:00:00,24.89,47.25
2025-04-24 03:00:00,31.11,40.30
2025-04-24 04:00:00,25.58,41.47
2025-04-24 05:00:00,19.76,45.44
2025-04-24 06:00:00,16.98,49.12
2025-04-24 07:00:00,19.83,53.58
2025-04-24 08:00:00,19.08,56.28
2025-04-24 09:00:00,19.72,63.64
2025-04-24 10:00:00,18.00,59.78
2025-04-24 11:00:00,17.95,68.20
2025-04-24 12:00:00,18.24,67.34
2025-04-24 13:00:00,14.27,63.56
2025-04-24 14:00:00,14.26,59.39
2025-04-24 15:00:00,16.03,58.33
2025-04-24 16:00:00,13.71,59.29
2025-04-24 17:00:00,10.95,55.86
2025-04-24 18:00:00,14.24,53.67
2025-04-24 19:00:00,15.06,51.86
2025-04-24 20:00:00,11.99,54.97
2025-04-24 21:00:00,12.50,62.10
2025-04-24 22:00:00,16.15,62.66
2025-04-24 23:00:00,16.33,51.60
2025-04-25 00:00:00,12.61,50.35
2025-04-25 01:00:00,9.43,47.44
2025-04-25 02:00:00,23.08,42.01
2025-04-25 03:00:00,27.76,45.24
2025-04-25 04:00:00,24.31,53.96
2025-04-25 05:00:00,22.86,49.55
2025-04-25 06:00:00,23.88,48.12
2025-04-25 07:00:00,21.96,65.12
2025-04-25 08:00:00,21.98,52.86
2025-04-25 09:00:00,19.82,59.60
2025-04-25 10:00:00,19.36,57.30
2025-04-25 11:00:00,18.14,60.84
2025-04-25 12:00:00,14.63,63.76
2025-04-25 13:00:00,17.44,66.26
2025-04-25 14:00:00,31.34,62.30
2025-04-25 15:00:00,34.20,67.97
2025-04-25 16:00:00,32.50,58.98
2025-04-25 17:00:00,33.94,65.94
2025-04-25 18:00:00,31.73,66.89
2025-04-25 19:00:00,26.02,54.10
2025-04-25 20:00:00,27.55,56.64
2025-04-25 21:00:00,29.09,57.14
2025-04-25 22:00:00,27.19,48.93
2025-04-25 23:00:00,24.60,61.05
2025-04-26 00:00:00,18.41,59.80
2025-04-26 01:00:00,13.71,52.97
2025-04-26 02:00:00,19.37,44.56
2025-04-26 03:00:00,23.85,42.68
2025-04-26 04:00:00,23.54,45.76
2025-04-26 05:00:00,30.21,41.38
2025-04-26 06:00:00,29.32,49.74
2025-04-26 07:00:00,25.00,54.26
2025-04-26 08:00:00,25.55,53.67
2025-04-26 09:00:00,23.19,55.57
2025-04-26 10:00:00,17.09,54.08
2025-04-26 11:00:00,21.26,66.15
2025-04-26 12:00:00,22.00,63.35
2025-04-26 13:00:00,21.50,60.89
2025-04-26 14:00:00,31.55,50.30
2025-04-26 15:00:00,34.15,50.66
2025-04-26 16:00:00,32.48,49.51
2025-04-26 17:00:00,28.67,50.48
2025-04-26 18:00:00,30.24,46.61
2025-04-26 19:00:00,27.72,41.19
2025-04-26 20:00:00,22.87,48.36
2025-04-26 21:00:00,22.19,41.68
2025-04-26 22:00:00,25.14,46.34
2025-04-26 23:00:00,23.64,48.82
2025-04-27 00:00:00,19.48,46.20
2025-04-27 01:00:00,16.95,47.97
2025-04-27 02:00:00,13.51,42.18
2025-04-27 03:00:00,14.52,38.42
2025-04-27 04:00:00,21.84,37.43
2025-04-27 05:00:00,25.18,39.28
2025-04-27 06:00:00,22.52,39.56
2025-04-27 07:00:00,18.47,40.95
2025-04-27 08:00:00,18.18,47.01
2025-04-27 09:00:00,16.48,44.18
2025-04-27 10:00:00,12.39,48.33
2025-04-27 11:00:00,16.70,58.16
2025-04-27 12:00:00,23.46,53.33
2025-04-27 13:00:00,19.62,53.66
2025-04-27 14:00:00,21.83,55.55
2025-04-27 15:00:00,24.29,47.99
2025-04-27 16:00:00,24.70,40.84
2025-04-27 17:00:00,21.01,39.44
2025-04-27 18:00:00,17.87,41.62
2025-04-27 19:00:00,20.08,36.63
2025-04-27 20:00:00,25.04,35.38
2025-04-27 21:00:00,27.98,35.94
2025-04-27 22:00:00,25.61,37.74
2025-04-27 23:00:00,20.43,42.63
2025-04-28 00:00:00,13.84,38.02
2025-04-28 01:00:00,13.59,41.28
2025-04-28 02:00:00,17.10,37.00
2025-04-28 03:00:00,19.31,35.03
2025-04-28 04:00:00,18.14,34.31
2025-04-28 05:00:00,18.48,37.17
2025-04-28 06:00:00,22.18,34.12
2025-04-28 07:00:00,21.24,32.71
2025-04-28 08:00:00,16.66,37.38
2025-04-28 09:00:00,17.11,41.28
2025-04-28 10:00:00,17.95,42.91
2025-04-28 11:00:00,15.42,47.25
2025-04-28 12:00:00,17.52,40.46
2025-04-28 13:00:00,18.04,NA
2025-04-28 14:00:00,17.22,46.14
2025-04-28 15:00:00,16.28,41.66
2025-04-28 16:00:00,17.35,37.72
